"count" "IO random read" "IO random write" "IO sequential read" "IO sequential write"
300000000 506863738428 753436851211 211235207343 336191037622
600000000 1047870190345 1513946967897 423578018936 668980967938
100000 125056927 164740714 68850182 109991641
1000000000 1776697860531 2539716875262 706326831424 1117637545759
1000 1244294 1656709 692652 1120094
200000 245506766 326289579 136241305 218298848
100 124568 171498 72432 162577
2000000 2620509002 3438162621 1389676390 2202264293
10000000 14003516851 18260837476 6969022191 11041116515
20000000 29105911443 38437465835 14129497157 22158718619
40000000 60449727054 79462679541 28140083596 44273229037
50000000 76679902452 101074755380 35029406239 55357113696
1000000 1284979725 1675386105 694936512 1100943151
30000000 44854476285 58321602570 21424704413 33181001018
