"count" "IO random read" "IO random write" "IO sequential read" "IO sequential write" 
50000000 47596619202 57134166081 23980263713 36540474252
1000000000 1010846373358 1306938606636 480456192913 732079587125
2000000 1727808866 2222187142 951886100 1458918949
1000 867261 1124938 482142 744368
100 89660 117789 50909 90756
1000000 865342411 1111013644 478160579 731462478
10000000 8984930579 11202125424 4762337511 7289480433
200000 170094466 219923712 94502444 145891113
30000000 28242787433 34306640739 14387524926 22219162477
40000000 37888827509 46877655757 19219739318 29259322367
100000 85217557 110123493 47267204 73646047
20000000 18810245839 23081712497 9631557512 14598415760
600000000 597957828859 777603029085 287533107545 438806014049
300000000 295209641223 383704952951 143807786950 220097466616

